,highest_charting_position,number_of_times_charted,streams,artist_followers,popularity,danceability,energy,loudness,speechiness,acousticness,liveness,tempo,duration_ms,valence,chord,contemporary,dance,edm,electropop,hip hop,house,indie,latin,other,pop,rap,reggaeton,rock,trap
0,1,8,48633449.0,3377762.0,100.0,0.714,0.8,-4.808,0.0504,0.127,0.359,134.002,211560.0,0.589,B,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,2,3,47248719.0,2230022.0,99.0,0.591,0.764,-5.484,0.0483,0.0383,0.103,169.928,141806.0,0.478,C#/Db,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,1,11,40162559.0,6266514.0,99.0,0.563,0.664,-5.044,0.154,0.335,0.0849,166.928,178147.0,0.688,A,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,3,5,37799456.0,83293380.0,98.0,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,231041.0,0.591,B,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4,5,1,33948454.0,5473565.0,96.0,0.736,0.704,-7.409,0.0615,0.0203,0.0501,149.995,212000.0,0.894,D#/Eb,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5,1,18,30071134.0,5473565.0,97.0,0.61,0.508,-6.682,0.152,0.297,0.384,178.818,137876.0,0.758,G#/Ab,0,0,0,0,1,0,0,0,0,0,1,0,0,0
6,3,16,29356736.0,8640063.0,94.0,0.762,0.701,-3.541,0.0286,0.235,0.123,110.968,208867.0,0.742,G#/Ab,0,0,0,0,0,0,0,0,0,2,0,0,0,0
7,2,10,26951613.0,6080597.0,95.0,0.78,0.718,-3.605,0.0506,0.31,0.0932,127.949,199604.0,0.342,D#/Eb,0,0,0,0,0,0,0,0,0,1,0,0,0,1
8,3,8,25030128.0,36142273.0,96.0,0.644,0.648,-4.601,0.118,0.276,0.135,179.951,206710.0,0.44,C#/Db,0,0,0,0,0,0,0,1,0,0,0,1,0,1
9,8,10,24551591.0,3377762.0,95.0,0.75,0.608,-4.008,0.0387,0.00165,0.178,132.507,173347.0,0.958,C#/Db,0,0,0,0,0,0,0,0,0,1,0,0,1,0
10,4,43,23518010.0,27142474.0,89.0,0.702,0.825,-3.787,0.0601,0.00883,0.0674,102.977,203064.0,0.915,F#/Gb,0,0,0,0,0,0,0,0,0,3,0,0,0,0
11,9,9,22405111.0,29051363.0,95.0,0.891,0.819,-3.964,0.106,0.0261,0.173,101.968,217773.0,0.768,G#/Ab,0,0,0,0,0,0,0,1,0,0,0,2,0,0
12,5,3,22062812.0,37106176.0,95.0,0.702,0.741,-5.33,0.0427,0.00544,0.337,124.925,187585.0,0.646,A,0,0,0,0,0,0,0,0,0,2,0,0,0,0
13,1,19,20294457.0,48504126.0,94.0,0.677,0.696,-6.181,0.119,0.321,0.42,90.03,198082.0,0.464,C,0,0,0,0,0,0,0,0,0,3,0,0,0,0
14,2,10,19985713.0,37106176.0,95.0,0.759,0.459,-5.187,0.0948,0.00323,0.0906,109.997,164442.0,0.695,G#/Ab,0,0,0,0,0,0,0,0,0,2,0,0,0,0
15,7,10,19480679.0,6266514.0,94.0,0.38,0.339,-7.885,0.0338,0.691,0.12,100.607,229227.0,0.0849,D#/Eb,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,3,17,18571755.0,6266514.0,93.0,0.442,0.612,-7.222,0.112,0.584,0.37,180.917,215507.0,0.178,D,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,5,14,18053141.0,35305637.0,94.0,0.65,0.825,-4.645,0.0325,0.0215,0.0936,118.091,191014.0,0.593,C,1,0,0,0,0,0,0,0,0,2,0,0,0,0
18,14,5,17617965.0,2123734.0,93.0,0.743,0.655,-5.015,0.159,0.114,0.0764,172.031,261335.0,0.785,F#/Gb,0,0,0,0,0,0,0,1,0,0,0,1,0,1
