,index,highest_charting_position,number_of_times_charted,week_of_highest_charting,song_name,streams,artist,artist_followers,genre,release_date,weeks_charted,popularity,danceability,energy,loudness,speechiness,acousticness,liveness,tempo,duration_ms,valence,chord,start_week_highest_charting,end_week_highest_charting,contemporary,dance,edm,electropop,hip hop,house,indie,latin,other,pop,rap,reggaeton,rock,trap,danceability^2,danceability energy,danceability loudness,danceability speechiness,danceability acousticness,danceability liveness,danceability tempo,danceability valence,energy^2,energy loudness,energy speechiness,energy acousticness,energy liveness,energy tempo,energy valence,loudness^2,loudness speechiness,loudness acousticness,loudness liveness,loudness tempo,loudness valence,speechiness^2,speechiness acousticness,speechiness liveness,speechiness tempo,speechiness valence,acousticness^2,acousticness liveness,acousticness tempo,acousticness valence,liveness^2,liveness tempo,liveness valence,tempo^2,tempo valence,valence^2
0,0,1,8,2021-07-23--2021-07-30,Beggin',48633449.0,Måneskin,3377762.0,"['indie rock italiano', 'italian pop']",2017-12-08,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11",100.0,0.714,0.8,-4.808,0.0504,0.127,0.359,134.002,211560.0,0.589,B,2021-07-23,2021-07-30,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.5097959999999999,0.5712,-3.4329119999999995,0.0359856,0.090678,0.256326,95.677428,0.420546,0.6400000000000001,-3.8464,0.04032,0.10160000000000001,0.2872,107.20160000000001,0.4712,23.116864,-0.2423232,-0.6106159999999999,-1.7260719999999998,-644.281616,-2.8319119999999995,0.00254016,0.0064008,0.018093599999999998,6.753700800000001,0.0296856,0.016129,0.045593,17.018254000000002,0.074803,0.128881,48.106718,0.21145099999999997,17956.536004,78.927178,0.346921
1,1,2,3,2021-07-23--2021-07-30,STAY (with Justin Bieber),47248719.0,The Kid LAROI,2230022.0,['australian hip hop'],2021-07-09,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16",99.0,0.591,0.764,-5.484,0.0483,0.0383,0.103,169.928,141806.0,0.478,C#/Db,2021-07-23,2021-07-30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.34928099999999995,0.451524,-3.241044,0.0285453,0.0226353,0.060873,100.427448,0.28249799999999997,0.583696,-4.189776,0.0369012,0.0292612,0.078692,129.824992,0.365192,30.074256,-0.26487720000000003,-0.2100372,-0.564852,-931.885152,-2.621352,0.0023328900000000002,0.00184989,0.0049749,8.2075224,0.0230874,0.00146689,0.0039448999999999994,6.5082424,0.018307399999999998,0.010608999999999999,17.502584,0.04923399999999999,28875.525184,81.225584,0.228484
2,2,1,11,2021-06-25--2021-07-02,good 4 u,40162559.0,Olivia Rodrigo,6266514.0,['pop'],2021-05-21,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21",99.0,0.563,0.664,-5.044,0.154,0.335,0.0849,166.928,178147.0,0.688,A,2021-06-25,2021-07-02,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.31696899999999995,0.373832,-2.8397719999999995,0.08670199999999999,0.188605,0.0477987,93.98046399999998,0.3873439999999999,0.44089600000000007,-3.3492159999999997,0.102256,0.22244000000000003,0.0563736,110.840192,0.45683199999999996,25.441935999999995,-0.7767759999999999,-1.68974,-0.4282356,-841.9848319999999,-3.4702719999999996,0.023716,0.051590000000000004,0.0130746,25.706912,0.10595199999999999,0.11222500000000002,0.0284415,55.920880000000004,0.23048,0.007208010000000001,14.1721872,0.058411199999999996,27864.957184,114.84646399999998,0.47334399999999993
3,3,3,5,2021-07-02--2021-07-09,Bad Habits,37799456.0,Ed Sheeran,83293380.0,"['pop', 'uk pop']",2021-06-25,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02",98.0,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,231041.0,0.591,B,2021-07-02,2021-07-09,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.6528640000000001,0.7247760000000001,-2.999296,0.028118399999999998,0.0378952,0.294112,101.829008,0.477528,0.804609,-3.329664,0.0312156,0.0420693,0.326508,113.045322,0.530127,13.778944000000001,-0.1291776,-0.1740928,-1.351168,-467.808512,-2.193792,0.0012110399999999998,0.0016321199999999997,0.012667199999999998,4.385704799999999,0.020566799999999996,0.00219961,0.0170716,5.9106194,0.027717899999999997,0.132496,45.873464,0.21512399999999998,15882.552676,74.481366,0.34928099999999995
4,4,5,1,2021-07-23--2021-07-30,INDUSTRY BABY (feat. Jack Harlow),33948454.0,Lil Nas X,5473565.0,"['lgbtq+ hip hop', 'pop rap']",2021-07-23,2021-07-23--2021-07-30,96.0,0.736,0.704,-7.409,0.0615,0.0203,0.0501,149.995,212000.0,0.894,D#/Eb,2021-07-23,2021-07-30,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.541696,0.5181439999999999,-5.453024,0.045264,0.014940799999999999,0.0368736,110.39632,0.657984,0.49561599999999995,-5.215935999999999,0.043295999999999994,0.014291199999999999,0.0352704,105.59648,0.6293759999999999,54.893280999999995,-0.4556535,-0.15040269999999997,-0.3711909,-1111.312955,-6.623646,0.00378225,0.00124845,0.00308115,9.2246925,0.054981,0.00041208999999999994,0.00101703,3.0448985,0.0181482,0.00251001,7.5147495,0.0447894,22498.500025,134.09553,0.7992360000000001
5,5,1,18,2021-05-07--2021-05-14,MONTERO (Call Me By Your Name),30071134.0,Lil Nas X,5473565.0,"['lgbtq+ hip hop', 'pop rap']",2021-03-31,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02",97.0,0.61,0.508,-6.682,0.152,0.297,0.384,178.818,137876.0,0.758,G#/Ab,2021-05-07,2021-05-14,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.3721,0.30988,-4.07602,0.09272,0.18117,0.23424,109.07898,0.46238,0.258064,-3.3944560000000004,0.07721599999999999,0.15087599999999998,0.195072,90.839544,0.385064,44.64912400000001,-1.0156640000000001,-1.984554,-2.565888,-1194.8618760000002,-5.0649560000000005,0.023104,0.045144,0.058368,27.180336,0.115216,0.088209,0.114048,53.108946,0.225126,0.147456,68.66611200000001,0.291072,31975.877124000006,135.544044,0.574564
6,6,3,16,2021-05-14--2021-05-21,Kiss Me More (feat. SZA),29356736.0,Doja Cat,8640063.0,"['dance pop', 'pop']",2021-04-09,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16",94.0,0.762,0.701,-3.541,0.0286,0.235,0.123,110.968,208867.0,0.742,G#/Ab,2021-05-14,2021-05-21,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.580644,0.534162,-2.698242,0.021793200000000002,0.17906999999999998,0.093726,84.55761600000001,0.565404,0.4914009999999999,-2.4822409999999997,0.0200486,0.164735,0.086223,77.788568,0.520142,12.538680999999999,-0.1012726,-0.832135,-0.43554299999999996,-392.937688,-2.6274219999999997,0.0008179600000000001,0.0067209999999999995,0.0035178,3.1736848,0.0212212,0.055224999999999996,0.028904999999999997,26.077479999999998,0.17437,0.015129,13.649064000000001,0.091266,12313.897024,82.338256,0.5505639999999999
7,7,2,10,2021-06-18--2021-06-25,Todo De Ti,26951613.0,Rauw Alejandro,6080597.0,"['puerto rican pop', 'trap latino']",2021-05-20,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28",95.0,0.78,0.718,-3.605,0.0506,0.31,0.0932,127.949,199604.0,0.342,D#/Eb,2021-06-18,2021-06-25,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.6084,0.56004,-2.8119,0.039468,0.24180000000000001,0.07269600000000001,99.80022,0.26676000000000005,0.515524,-2.58839,0.036330799999999996,0.22258,0.06691760000000001,91.86738199999999,0.245556,12.996025,-0.182413,-1.11755,-0.335986,-461.256145,-1.2329100000000002,0.00256036,0.015686,0.00471592,6.4742194,0.0173052,0.0961,0.028892,39.66419,0.10602,0.008686240000000001,11.924846800000001,0.031874400000000004,16370.946601,43.758558,0.11696400000000001
8,8,3,8,2021-06-18--2021-06-25,Yonaguni,25030128.0,Bad Bunny,36142273.0,"['latin', 'reggaeton', 'trap latino']",2021-06-04,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11",96.0,0.644,0.648,-4.601,0.118,0.276,0.135,179.951,206710.0,0.44,C#/Db,2021-06-18,2021-06-25,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.41473600000000005,0.417312,-2.963044,0.075992,0.177744,0.08694,115.88844399999999,0.28336,0.419904,-2.981448,0.076464,0.178848,0.08748,116.608248,0.28512,21.169201,-0.542918,-1.269876,-0.621135,-827.9545509999999,-2.02444,0.013923999999999999,0.032568,0.01593,21.234218,0.05192,0.07617600000000001,0.03726000000000001,49.666476,0.12144,0.018225,24.293385,0.0594,32382.362401,79.17844,0.1936
9,9,8,10,2021-07-02--2021-07-09,I WANNA BE YOUR SLAVE,24551591.0,Måneskin,3377762.0,"['indie rock italiano', 'italian pop']",2021-03-19,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28",95.0,0.75,0.608,-4.008,0.0387,0.00165,0.178,132.507,173347.0,0.958,C#/Db,2021-07-02,2021-07-09,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.5625,0.45599999999999996,-3.0060000000000002,0.029025,0.0012374999999999999,0.1335,99.38025,0.7184999999999999,0.369664,-2.436864,0.023529599999999998,0.0010031999999999999,0.10822399999999999,80.564256,0.582464,16.064064,-0.1551096,-0.0066132,-0.713424,-531.088056,-3.839664,0.0014976899999999999,6.385499999999999e-05,0.006888599999999999,5.1280209,0.0370746,2.7224999999999998e-06,0.0002937,0.21863655,0.0015807,0.031684,23.586246,0.17052399999999998,17558.105049,126.941706,0.9177639999999999
