Id,MS SubClass,Lot Area,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Total Bsmt SF,Gr Liv Area,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Enclosed Porch,Screen Porch,Garage Area,Mas Vnr Area,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_IDOTRR,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Kitchen Qual_Fa,Kitchen Qual_Gd,Kitchen Qual_TA,Exter Qual_Fa,Exter Qual_Gd,Exter Qual_TA,Bsmt Exposure_Gd,Bsmt Exposure_Mn,Bsmt Exposure_No
544,60,11492,7,5,1996,1997,913.0,2122,4,1,8,0,0,559.0,132.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
153,20,7922,5,7,1953,2007,1057.0,1057,3,1,5,0,0,246.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
318,60,9802,5,5,2006,2007,384.0,1444,3,1,7,0,0,400.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
255,50,14235,6,8,1900,1993,676.0,1445,3,1,6,0,0,484.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
138,20,16492,6,6,1966,2002,1517.0,1888,2,1,6,0,0,578.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2827,180,3675,6,5,2005,2006,547.0,1072,2,1,5,0,0,525.0,82.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
145,20,12160,5,5,1959,1959,1188.0,1188,3,1,6,0,0,531.0,180.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1942,20,15783,5,5,1952,1952,924.0,924,2,1,6,0,0,420.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
1956,60,11606,5,5,1969,1969,1040.0,2080,5,1,9,0,0,504.0,192.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1044,160,1680,6,5,1971,1971,483.0,987,2,1,4,0,0,264.0,232.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2752,20,7488,7,5,2005,2005,1208.0,1208,2,1,6,0,0,632.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
807,70,26400,5,7,1880,2007,0.0,2016,4,1,7,0,0,576.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
1177,160,2645,8,5,1999,2000,960.0,1607,3,1,7,0,0,480.0,456.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
1480,20,9627,7,5,2007,2007,1351.0,1361,3,1,6,0,0,610.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
324,20,10114,5,5,2004,2005,1430.0,1430,3,1,7,0,0,624.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1311,70,4571,5,5,1916,1950,624.0,1344,4,1,7,96,0,513.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
69,60,8640,7,5,2009,2009,756.0,1547,3,1,7,0,0,614.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
351,120,5664,8,5,2000,2000,1501.0,1659,2,1,5,0,0,499.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
2393,60,12867,8,5,2005,2006,1209.0,2253,3,1,8,0,0,575.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
12,20,7980,6,7,1992,2007,1168.0,1187,3,1,6,0,0,420.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
