,organization_name,street_address,city,state,postcode,year_surveyed,total_volunteers,youth_volunteers,adult_volunteers,older_adult_volunteers,organization_type,interest_areas,special_populations_served,boroughs_served,advocacy and organizing,animals,arts and culture,children and youth related,civic engagement (voting voter registration),education and literacy,emergency management and disaster response,employment and workforce development,environment and sustainability,faith-based,health and medicine,homeless and shelter,human rights,human services,immigrants and/or refugees,justice-related,legal services,lgbtqia+,people with disabilities,senior services,women's issues,organization_type_,organization_type_article 28- nursing home facility,organization_type_arts organization,organization_type_cat rescue and adoption,organization_type_charity,organization_type_city agency,organization_type_coalition of cbos /fbo,organization_type_college and/or university,organization_type_community center,organization_type_community garden,organization_type_community-based organization,organization_type_community/ public foundation,organization_type_cultural center & botanical garden,organization_type_cultural institution,organization_type_cultural/museum,organization_type_education,organization_type_faith-based institution,organization_type_federally mandated advocacy program,organization_type_federally qualified health center,organization_type_film festival,organization_type_foster care agency,organization_type_foundation,organization_type_health care organization,organization_type_home health & hospice care,organization_type_hospital,organization_type_human services,organization_type_k-12 private school,organization_type_legal services,organization_type_legal services organization,organization_type_literacy and theater,organization_type_membership organization,organization_type_museum,organization_type_museum/botanical garden,organization_type_music school,organization_type_ngo,organization_type_non profit,organization_type_nursing facility,organization_type_nursing home,organization_type_nursing home & rehab,organization_type_nyc mayor's office,organization_type_park conservancy,organization_type_parks and public spaces,organization_type_private / public partnership,organization_type_private agency,organization_type_public library,organization_type_public park,organization_type_public-private partnership,organization_type_public/ private partnership,organization_type_quality of life issues,organization_type_senior center,organization_type_senior citizens center,organization_type_senior services,organization_type_social emotional learning,organization_type_social service agency,organization_type_theatre company,organization_type_volunteer-led group,organization_type_zoo,All Boroughs,BK,BX,MN,QN,SI
0,"20/20 Vision for Schools, Inc. d/b/a Thrive Collective",8225 5th Avenue #323,Brooklyn,NY,11209.0,2019.0,500.0,200.0,260.0,40.0,Community-based organization,"Arts and culture, Children and youth related, Education and literacy","Immigrants and/or refugees, Justice-involved individuals, Low-income populations, Youth (17 or under), PUBLIC SCHOOL STUDENTS",All Boroughs,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,826NYC,372 Fifth Ave,Brooklyn,NY,11215.0,2019.0,803.0,0.0,759.0,44.0,Community-based organization,"Children and youth related, Education and literacy","Immigrants and/or refugees, Low-income populations, Women, Youth (17 or under)",All Boroughs,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,9/11 Memorial & Museum,"200 Liberty St, 16th floor",New York,NY,10281.0,2019.0,774.0,38.0,0.0,0.0,Museum,"Arts and culture, Education and literacy, Memorial",None,MN,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,A Free Bird,146 Smith Street,Brooklyn,NY,11201.0,2019.0,58.0,0.0,58.0,0.0,"Community-based organization, Volunteer-led group","Arts and culture, Children and youth related",Youth (17 or under),BK,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,Abbott House,1775 Grandconcourse,The Bronx,NY,10453.0,2019.0,2.0,0.0,2.0,0.0,Foster care Agency,"Children and youth related, Employment and workforce development, Health and medicine, Immigrants and/or refugees, LGBTQIA+, People with disabilities","Low-income populations, Youth (17 or under)",BX,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,ABSW Senior Center,221 West 107 Street,New York,NY,10025.0,2019.0,6.0,0.0,1.0,5.0,Community-based organization,"Advocacy and organizing, Arts and culture, Civic engagement (voting voter registration), Education and literacy, Human services, Senior Services",Older adults (60 or older),MN,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,Academy of Medical & Public Health Services,"5306 Third Avenue, 2nd Floor",Brooklyn,NY,11220.0,2019.0,38.0,3.0,33.0,2.0,Community-based organization,"Education and literacy, Health and medicine, Human services, Immigrants and/or refugees, Mental Health Services","Immigrants and/or refugees, Low-income populations, Uninsured immigrants",BK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,ACDP Beacon @ Ms 117,1865 Morris Ave.,The Bronx,NY,10463.0,2019.0,3.0,3.0,0.0,0.0,Community-based organization,"Arts and culture, Children and youth related, Civic engagement (voting voter registration), Education and literacy, Employment and workforce development, Human services, LGBTQIA+","Immigrants and/or refugees, LGBTQIA+, Low-income populations, Youth (17 or under)",BX,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,Administration for Children's Services,150 William Street,New York,NY,10038.0,2019.0,340.0,0.0,0.0,0.0,City agency,"Advocacy and organizing, Children and youth related, Education and literacy, Emergency management and disaster response, Employment and workforce development, Human services, Immigrants and/or refugees, Justice-related, LGBTQIA+, Legal services, People with disabilities, Women's issues","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, People with disabilities, Women, Youth (17 or under)",All Boroughs,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,Agency of International Cooperation for Development,276 5th Ave #704,New York,NY,10001.0,2019.0,10.0,0.0,10.0,0.0,Non Profit Organization,"Advocacy and organizing, Children and youth related, Emergency management and disaster response, Employment and workforce development, Environment and sustainability, Homeless and shelter, Human rights, Human services, Women's issues","Low-income populations, People with disabilities, Women, Youth (17 or under)",BX,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
